Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2010-02-22,117.37,118.97,116.18,118.01,118.11666666666667,6807300,0.004160834772035535,1
2010-02-23,118.01,119.25,116.51,117.24,118.16666666666667,7068200,-0.006546250794965781,-1
2010-02-24,117.96,119.8,117.15,119.72,119.16000000000001,7389900,0.02093256714180656,1
2010-02-25,118.17,118.34,115.85,118.2,118.23666666666666,9533400,-0.01277757801250035,-1
2010-02-26,117.88,119.43,117.0,118.4,118.57000000000001,5721600,0.001690617477907452,1
2010-03-01,118.7,124.66,117.53,124.54,122.63333333333334,13296500,0.0505582269944007,1
2010-03-02,125.01,127.35,124.8,125.53,125.96333333333332,12097500,0.007917824385811043,1
2010-03-03,125.4,126.94,124.43,125.89,126.07666666666667,6440400,0.002863735948050759,1
2010-03-04,125.98,128.85,125.57,128.53,127.78666666666668,7509700,0.020753830343872633,1
2010-03-05,129.13,129.45,127.07,128.91,129.16333333333333,6769300,0.002952146332972907,1
2010-03-08,128.3,130.85,127.71,130.11,129.75333333333333,5605900,0.00926576006037117,1
